Disease_Name,Category,Severity_Level,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Medication_1,Medication_2,Medication_3,
Stomach Ulcer,Digestive Disorder,Moderate,Abdominal pain,Heartburn,Bloating,Nausea,Vomiting,Weight loss,Black stool,Proton pump inhibitors,H2 blockers,Antibiotics (H. pylori),
Strep Throat,Bacterial Infection,Mild to Moderate,Sore throat,Fever,Swollen tonsils,Headache,Rash,Nausea,Fatigue,Penicillin,Amoxicillin,Acetaminophen,
Stroke,Neurological Disorder,Severe,Sudden numbness,Trouble speaking,Paralysis,Vision problems,Headache,Confusion,Dizziness,Anticoagulants,Thrombolytics,Antihypertensives,
Strongyloidiasis,Parasitic Infection,Moderate,Abdominal pain,Diarrhea,Skin rash,Cough,Nausea,Fatigue,Itching,Ivermectin,Albendazole,Supportive care,
Subconjunctival Hemorrhage,Eye Condition,Mild,Red eye,Mild irritation,No pain,Normal vision,No discharge,N/A,N/A,Artificial tears,No treatment needed,Monitoring,
Subdural Hematoma,Neurological Condition,Severe,Headache,Confusion,Seizures,Nausea,Slurred speech,Weakness,Drowsiness,Surgery (craniotomy),Osmotic diuretics,Anticonvulsants,
Sudden Infant Death Syndrome,Pediatric Condition,Severe,No warning signs,Sudden death,Not breathing,Cyanosis,No crying,Unresponsive,N/A,Risk reduction practices,None,None,
Sunburn,Skin Condition,Mild,Red skin,Pain,Blisters,Peeling,Itching,Swelling,Warmth,Aloe vera gel,NSAIDs,Moisturizers,
Superficial Thrombophlebitis,Cardiovascular Disorder,Mild,Vein pain,Redness,Swelling,Warmth,Hardening of vein,Tenderness,Itching,NSAIDs,Compression stockings,Blood thinners (rare),
Supine Hypotensive Syndrome,Pregnancy-Related,Mild,Dizziness,Nausea,Faintness,Pallor,Sweating,Weak pulse,Low blood pressure,Changing body position,Supportive care,None,
Swine Flu (H1N1),Viral Infection,Moderate,Fever,Cough,Sore throat,Body aches,Fatigue,Chills,Diarrhea,Oseltamivir,Zanamivir,Acetaminophen,
Syphilis,Bacterial Infection,Chronic,Sores,Rash,Fatigue,Fever,Swollen lymph nodes,Headache,Hair loss,Penicillin G,Doxycycline,Azithromycin,
Systemic Lupus Erythematosus,Autoimmune Disorder,Chronic,Fatigue,Joint pain,Rash,Fever,Photosensitivity,Chest pain,Hair thinning,Hydroxychloroquine,Corticosteroids,Immunosuppressants,
Tachycardia,Cardiovascular Disorder,Moderate,Rapid heartbeat,Dizziness,Shortness of breath,Chest pain,Fatigue,Palpitations,Anxiety,Beta-blockers,Calcium channel blockers,Antiarrhythmics,
Tetanus,Bacterial Infection,Severe,Muscle stiffness,Jaw lock,Spasms,Fever,Sweating,Rapid heartbeat,Trouble swallowing,Tetanus immunoglobulin,Antibiotics,Muscle relaxants,
Testicular Torsion,Urological Emergency,Severe,Sudden scrotal pain,Swelling,Tenderness,Redness,Abdominal pain,Nausea,Vomiting,Emergency surgery,Pain relievers,None,
Thalassemia,Genetic Blood Disorder,Chronic,Fatigue,Pale skin,Weakness,Bone deformities,Enlarged spleen,Growth delay,Dark urine,Blood transfusions,Folic acid supplements,Chelation therapy,
Thyroid Cancer,Cancer,Severe,Neck lump,Swallowing difficulty,Hoarseness,Fatigue,Neck pain,Cough,Weight changes,Surgery,Radioiodine therapy,Levothyroxine,
Tinea Capitis (Scalp Ringworm),Fungal Infection,Mild to Moderate,Itchy scalp,Hair loss,Red patches,Scaling,Swelling,Pain,Brittle hair,Antifungal shampoo,Oral antifungals,Topical antifungals,
Tinea Corporis (Ringworm),Fungal Infection,Mild,Circular rash,Itching,Red patches,Scaling,Pain,Cracking skin,Blistering,Clotrimazole,Miconazole,Terbinafine,
Tonsillitis,Respiratory Infection,Mild to Moderate,Sore throat,Swollen tonsils,Difficulty swallowing,Fever,Ear pain,Bad breath,Fatigue,Antibiotics (if bacterial),Pain relievers,Warm salt water gargle,
Toxic Shock Syndrome,Bacterial Infection,Severe,High fever,Rash,Low blood pressure,Vomiting,Diarrhea,Confusion,Muscle aches,IV antibiotics,IV fluids,Oxygen therapy,
Toxoplasmosis,Parasitic Infection,Moderate,Muscle pain,Fever,Headache,Fatigue,Swollen lymph nodes,Blurred vision,Confusion,Pyrimethamine + sulfadiazine,Clindamycin,Folinic acid,
Trachoma,Bacterial Eye Infection,Moderate,Eye discharge,Irritation,Swollen eyelids,Light sensitivity,Red eyes,Itching,Vision loss,Azithromycin,Tetracycline,Eye ointments,
Trichinosis,Parasitic Infection,Moderate,Abdominal pain,Diarrhea,Muscle pain,Fever,Swelling of eyelids,Weakness,Headache,Albendazole,Mebendazole,Pain relievers,
Trigeminal Neuralgia,Neurological Disorder,Severe,Facial pain,Shock-like pain,Triggered by touch,Burning sensation,Tingling sensation,Muscle twitching,Numbness,Carbamazepine,Oxcarbazepine,Surgery (if needed),
Tuberculosis,Bacterial Infection,Severe,Chronic cough,Coughing blood,Weight loss,Fever,Night sweats,Fatigue,Chest pain,Isoniazid,Rifampin,Pyrazinamide,
Tularemia,Bacterial Infection,Moderate,Skin ulcer,Swollen lymph nodes,Fever,Chills,Sore throat,Muscle pain,Headache,Streptomycin,Gentamicin,Doxycycline,
Turner Syndrome,Genetic Condition,Chronic,Short stature,Webbed neck,Delayed puberty,Infertility,Heart defects,Learning disabilities,Broad chest,Growth hormone therapy,Estrogen therapy,Supportive care,
Typhoid Fever,Bacterial Infection,Severe,High fever,Abdominal pain,Delirium,Constipation,Rash,Weakness,Enlarged spleen,Ceftriaxone,Azithromycin,Ciprofloxacin,
Typhus,Bacterial Infection,Severe,High fever,Headache,Rash,Chills,Delirium,Muscle aches,Nausea,Doxycycline,Chloramphenicol,Supportive care,
Ulcerative Colitis,Autoimmune/Gastrointestinal,Chronic,Diarrhea with blood,Abdominal cramps,Urgency to defecate,Weight loss,Fatigue,Rectal pain,Fever,Mesalamine,Corticosteroids,Immunosuppressants,
Undescended Testicle,Congenital Condition,Mild,Empty scrotum,Palpable mass,Discomfort,Delayed puberty,Infertility,Hernia,None,Surgery (orchiopexy),Hormone therapy,Pain relievers,
Unexplained Infertility,Reproductive Condition,Mild to Moderate,No symptoms,Failed conception,Menstrual irregularity,Hormonal imbalance,Anxiety,Depression,None,Clomiphene,IVF treatment,Hormonal therapy,
Upper Respiratory Infection,Respiratory Infection,Mild,Sore throat,Runny nose,Cough,Congestion,Sneezing,Fatigue,Mild fever,Decongestants,Antihistamines,Acetaminophen,
Urinary Incontinence,Urological Condition,Moderate,Urge to urinate,Leakage,Frequency,Night urination,Pelvic pressure,Wet clothes,Odor,Anticholinergics,Beta-3 agonists,Pelvic exercises,
Urinary Tract Infection (UTI),Bacterial Infection,Mild to Moderate,Burning urination,Frequent urination,Pelvic pain,Cloudy urine,Strong-smelling urine,Blood in urine,Fever,Nitrofurantoin,Trimethoprim-sulfamethoxazole,Ciprofloxacin,
Urticaria (Hives),Allergic Reaction,Mild,Itchy welts,Red rash,Swelling,Burning sensation,Raised skin,Flare-ups,Triggers,Antihistamines,Corticosteroids,Avoidance of triggers,
Uterine Fibroids,Reproductive Condition,Moderate,Heavy bleeding,Pelvic pressure,Frequent urination,Lower back pain,Pain during sex,Abdominal swelling,Constipation,NSAIDs,Hormonal therapy,Surgery (myomectomy),
Uveitis,Eye Condition,Moderate,Eye redness,Pain,Light sensitivity,Blurred vision,Floaters,Tearing,Headache,Corticosteroid eye drops,Immunosuppressants,Antivirals (if needed),
Vaginal Candidiasis,Fungal Infection,Mild,Itching,Burning,White discharge,Redness,Swelling,Pain during urination,Irritation,Antifungal cream,Fluconazole,Clotrimazole,
Varicella (Chickenpox),Viral Infection,Mild to Moderate,Itchy rash,Fever,Fatigue,Loss of appetite,Headache,Blisters,Irritability,Calamine lotion,Acetaminophen,Acyclovir (if needed),
Varicocele,Reproductive Condition,Mild to Moderate,Enlarged veins,Scrotal swelling,Discomfort,Infertility,Pain after standing,Visible lump,Testicular shrinkage,Scrotal support,Pain relievers,Surgery (varicocelectomy),
Vasculitis,Autoimmune Disease,Moderate to Severe,Fatigue,Fever,Joint pain,Skin rash,Nerve problems,Organ dysfunction,Weight loss,Corticosteroids,Immunosuppressants,Biologics,
Vasovagal Syncope,Cardiovascular Condition,Mild,Lightheadedness,Nausea,Sweating,Blurred vision,Fainting,Confusion,Weakness,Increased salt intake,Compression stockings,Midodrine,
Vertigo,Neurological Condition,Mild to Moderate,Spinning sensation,Dizziness,Nausea,Loss of balance,Headache,Vomiting,Ear ringing,Meclizine,Diazepam,Vestibular therapy,
Viral Gastroenteritis,Viral Infection,Mild,Diarrhea,Nausea,Vomiting,Stomach cramps,Low-grade fever,Fatigue,Dehydration,Oral rehydration therapy,Antiemetics,Antidiarrheals,
Viral Hepatitis,Viral Infection,Moderate to Severe,Jaundice,Fatigue,Abdominal pain,Nausea,Dark urine,Joint pain,Loss of appetite,Antiviral medication,Interferon,Liver support care,
Vitiligo,Skin Condition,Mild,White patches,Skin discoloration,Premature graying,Hair color loss,Eye color changes,Sensitivity to sunlight,Psychological stress,Topical corticosteroids,Phototherapy,Immunomodulators,
Vitamin B12 Deficiency,Nutritional Deficiency,Moderate,Fatigue,Pale skin,Tingling,Memory issues,Weakness,Difficulty walking,Shortness of breath,Vitamin B12 injections,Oral B12 supplements,Diet modification,
Vitamin D Deficiency,Nutritional Deficiency,Mild to Moderate,Bone pain,Muscle weakness,Fatigue,Depression,Hair loss,Frequent illness,Mood changes,Vitamin D supplements,Sunlight exposure,Diet modification,
Vitreous Detachment,Eye Condition,Mild,Floaters,Flashes of light,Blurred vision,Shadow in vision,Eye discomfort,Eye strain,Visual impairment,Observation only,Laser surgery (if needed),Vitrectomy (rare),
Vocal Cord Nodules,ENT Condition,Mild,Hoarseness,Voice fatigue,Throat pain,Dry cough,Reduced pitch range,Lump in throat,Voice loss,Voice rest,Speech therapy,Surgery (if persistent),
Von Willebrand Disease,Blood Disorder,Moderate,Easy bruising,Nosebleeds,Heavy menstruation,Prolonged bleeding,Bleeding gums,Joint swelling,Blood in urine,Desmopressin,Clotting factor replacement,Antifibrinolytics,
Vulvodynia,Reproductive Condition,Chronic,Vulvar pain,Burning sensation,Itching,Pain during intercourse,Stinging,Rawness,Tingling,Local anesthetics,Antidepressants,Physical therapy,
Warts,Viral Skin Infection,Mild,Skin growths,Rough bumps,Itching,Pain (if on foot),Spread to others,Bleeding (if picked),Discoloration,Salicylic acid,Cryotherapy,Imiquimod,
Wegener's Granulomatosis,Autoimmune Disease,Severe,Sinus pain,Nosebleeds,Cough,Shortness of breath,Fatigue,Skin sores,Joint pain,Corticosteroids,Cyclophosphamide,Rituximab,
West Nile Virus,Viral Infection,Mild to Severe,Fever,Headache,Body aches,Skin rash,Swollen lymph nodes,Stiff neck,Paralysis,Supportive care,Pain relievers,IV fluids (if needed),
Whipple’s Disease,Bacterial Infection,Severe,Weight loss,Diarrhea,Joint pain,Abdominal cramping,Malnutrition,Fatigue,Anemia,Ceftriaxone,Trimethoprim-sulfamethoxazole,Nutritional support,
Whooping Cough (Pertussis),Bacterial Infection,Moderate,Severe cough,Vomiting after cough,Exhaustion,Runny nose,Fever,Apnea (in infants),Cyanosis,Azithromycin,Clarithromycin,Supportive care,
Wilson’s Disease,Genetic Disorder,Severe,Liver dysfunction,Neurological issues,Tremors,Jaundice,Behavior changes,Muscle stiffness,Difficulty swallowing,Zinc acetate,Penicillamine,Trientine,
Wolff-Parkinson-White Syndrome,Heart Condition,Moderate to Severe,Palpitations,Dizziness,Fainting,Chest pain,Shortness of breath,Rapid heartbeat,Fatigue,Antiarrhythmic drugs,Catheter ablation,Beta blockers,
Worm Infestation,Parasitic Infection,Mild to Moderate,Abdominal pain,Diarrhea,Weight loss,Itching around anus,Nausea,Vomiting,Fatigue,Albendazole,Mebendazole,Ivermectin,
Wound Infection,Bacterial Infection,Mild to Severe,Redness,Swelling,Pus discharge,Pain,Fever,Warmth on skin,Delayed healing,Antibiotics,Wound cleaning,Antiseptics,
Wrist Tendonitis,Musculoskeletal Condition,Mild to Moderate,Wrist pain,Swelling,Tenderness,Stiffness,Weak grip,Burning sensation,Limited movement,NSAIDs,Wrist brace,Physical therapy,
Xerophthalmia,Nutritional Deficiency,Moderate to Severe,Dry eyes,Night blindness,Eye discomfort,Eye ulcers,Corneal softening,Blurry vision,Light sensitivity,Vitamin A supplements,Lubricating eye drops,Nutritional therapy,
Yellow Fever,Viral Infection,Moderate to Severe,Fever,Chills,Nausea,Jaundice,Headache,Muscle pain,Bleeding,Supportive care,Pain relievers,Fluids,
Yersiniosis,Bacterial Infection,Mild to Moderate,Diarrhea,Abdominal pain,Fever,Vomiting,Bloody stool,Headache,Joint pain,Azithromycin,Ciprofloxacin,Supportive care,
Zika Virus,Viral Infection,Mild,Fever,Rash,Joint pain,Red eyes,Headache,Muscle pain,Fatigue,Supportive care,Pain relievers,Fluids,
Zinc Deficiency,Nutritional Deficiency,Mild to Moderate,Hair loss,Loss of appetite,Poor wound healing,Diarrhea,Impaired immunity,Rash,Growth retardation,Zinc supplements,Dietary changes,Multivitamins,
Zollinger-Ellison Syndrome,Endocrine Disorder,Severe,Severe abdominal pain,Diarrhea,Weight loss,Nausea,Vomiting,Heartburn,Fatigue,Proton pump inhibitors,Octreotide,Surgery,
Zoonotic Disease (General),Infectious Disease,Variable,Fever,Rash,Diarrhea,Muscle aches,Headache,Fatigue,Cough,Depends on infection type,Antibiotics/Antivirals,Supportive care,
